시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
충청남도 아산시 권곡동,171-21,171,21,권곡한성하우시스,49.7605,202105,16,"9,500",4,2012,문화로 257-10,
충청남도 아산시 권곡동,171-21,171,21,권곡한성하우시스,35.0174,202105,25,"8,000",6,2012,문화로 257-10,
충청남도 아산시 권곡동,171-21,171,21,권곡한성하우시스,49.7605,202105,30,"9,400",4,2012,문화로 257-10,
충청남도 아산시 권곡동,171-21,171,21,권곡한성하우시스,49.7605,202106,1,"9,600",7,2012,문화로 257-10,
충청남도 아산시 권곡동,171-21,171,21,권곡한성하우시스,49.7605,202106,14,"9,400",6,2012,문화로 257-10,
충청남도 아산시 권곡동,171-21,171,21,권곡한성하우시스,49.7605,202106,27,"9,500",5,2012,문화로 257-10,
충청남도 아산시 권곡동,443-9,443,9,덕흥,48.24,202103,3,"6,300",2,1991,충무로97번길 12,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,5,"20,000",11,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,9,"21,000",2,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202101,9,"24,000",10,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,16,"20,000",3,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,18,"20,700",8,2005,문화로243번길 13,20210405
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202101,18,"20,000",5,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,18,"20,700",8,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,19,"18,700",1,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202101,23,"23,500",9,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202101,23,"24,000",11,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202101,26,"21,200",5,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202102,19,"23,500",14,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202102,22,"21,000",15,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202102,26,"21,000",1,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202102,27,"23,700",4,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202103,2,"24,000",6,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202103,5,"21,500",9,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202103,20,"25,000",11,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202103,31,"24,500",6,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202104,1,"24,000",6,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202104,19,"25,000",3,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202105,4,"21,000",10,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202105,6,"22,000",2,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202105,20,"22,000",7,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202105,24,"22,500",6,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202106,6,"23,000",11,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,84.99,202106,20,"23,000",2,2005,문화로243번길 13,
충청남도 아산시 권곡동,610,610,0,삼부르네상스,121.46,202106,20,"28,000",14,2005,문화로243번길 13,
충청남도 아산시 권곡동,169-1,169,1,서해그랑블1차,84.7904,202101,11,"24,000",10,2009,문화로 257-20,
충청남도 아산시 권곡동,169-1,169,1,서해그랑블1차,72.0153,202101,12,"20,500",2,2009,문화로 257-20,
충청남도 아산시 권곡동,169-1,169,1,서해그랑블1차,84.4973,202101,13,"21,000",2,2009,문화로 257-20,
